"idx_condition","idx_trial","T_fm","T_fu","T_rm","T_ru","R_fm","R_fu","R_rm","R_ru","f_halt","r_halt","n_items"
1,1,0,0,0,0,0,0,0,0,3,4,8
2,1,0,0,0,0,0,0,0,0,4,4,8
3,1,4,0,4,0,2,0,1,0,4,4,8
4,1,3,0,3,0,3,0,1,0,3,4,8
5,1,1,1,1,1,1,1,1,1,2,4,8
6,1,1,1,1,1,1,1,1,1,1,4,8
7,1,1,1,1,1,1,1,1,1,4,5,8
8,1,1,1,1,1,1,1,1,1,3,4,8
9,1,1,1,1,1,1,1,1,1,1,4,8
10,1,1,1,1,1,2,1,1,1,1,4,8
11,1,1,1,1,1,1,1,1,1,3,4,8
12,1,1,1,1,1,1,1,1,1,2,3,8
13,1,1,1,1,1,1,1,1,1,3,4,8
14,1,1,1,1,1,1,1,1,1,1,4,8
15,1,2,1,4,1,1,1,1,1,4,4,8
16,1,3,1,4,1,3,1,3,1,3,4,8
17,1,1,1,2,1,1,1,2,1,1,5,8
18,1,1,1,1,1,1,1,4,1,1,5,8
19,1,2,1,5,1,1,1,1,1,4,5,8
20,1,2,1,4,1,-1,1,2,1,3,4,8
21,1,2,2,2,2,2,2,2,2,3,5,8
22,1,2,2,2,2,2,2,2,2,2,4,8
23,1,2,2,2,2,2,2,2,2,2,4,8
24,1,2,2,2,2,2,2,2,2,2,3,8
25,1,1,1,1,1,2,1,1,1,3,5,8
26,1,2,1,2,2,2,2,2,2,2,4,8
27,1,2,2,2,2,2,2,2,2,2,4,8
28,1,2,2,2,2,2,2,2,2,2,3,8
29,1,1,1,1,1,1,1,1,1,3,4,8
30,1,1,1,1,1,1,1,1,1,1,4,8
31,1,1,1,2,1,-1,1,2,1,2,5,8
32,1,1,1,2,2,2,2,2,2,2,4,8
33,1,2,2,3,2,3,2,2,2,3,4,8
34,1,2,2,2,2,2,2,2,2,3,4,8
35,1,2,2,8,8,2,2,-1,3,2,7,8
36,1,2,2,7,2,2,2,-1,2,2,5,8
37,1,1,1,1,1,1,1,1,1,3,5,8
38,1,1,1,4,1,4,1,4,1,3,4,8
39,1,2,2,8,2,2,2,3,2,2,5,8
40,1,2,2,7,2,-1,2,-1,2,2,5,8
41,1,1,1,1,1,1,1,1,1,3,4,8
42,1,1,1,1,1,1,1,1,1,2,4,8
43,1,1,1,8,1,2,1,-1,1,2,5,8
44,1,1,1,7,1,-1,1,-1,1,1,6,8
45,1,1,1,1,1,1,1,1,1,2,5,8
46,1,1,1,2,1,4,1,2,1,2,4,8
47,1,1,1,2,1,2,2,2,2,1,5,8
48,1,1,1,2,2,2,2,2,2,1,3,8
49,1,1,1,3,1,3,1,1,1,3,5,8
50,1,1,1,5,1,1,1,4,1,2,4,8
51,1,1,1,8,2,-1,1,3,1,2,5,8
52,1,1,1,8,2,-1,1,4,2,1,5,8
1,2,0,0,0,0,0,0,0,0,3,4,8
2,2,0,0,0,0,0,0,0,0,4,4,8
3,2,1,0,1,0,1,0,1,0,4,4,8
4,2,0,0,0,0,0,0,0,0,4,5,8
5,2,1,1,1,1,1,1,1,1,2,5,8
6,2,1,1,1,1,1,1,1,1,2,3,8
7,2,1,0,1,0,1,0,1,0,4,4,8
8,2,2,1,2,1,2,1,2,1,3,4,8
9,2,1,1,1,1,1,1,1,1,1,4,8
10,2,1,1,1,1,1,1,1,1,1,4,8
11,2,1,1,1,1,1,1,1,1,3,4,8
12,2,2,1,2,1,2,1,2,1,3,3,8
13,2,1,1,1,1,1,1,1,1,2,4,8
14,2,1,1,1,1,1,1,1,1,2,4,8
15,2,5,1,5,1,1,1,1,1,4,5,8
16,2,1,1,1,1,1,1,1,1,4,4,8
17,2,1,1,1,1,1,1,1,1,1,4,8
18,2,1,1,1,1,1,1,1,1,1,4,8
19,2,1,1,1,1,1,1,1,1,3,5,8
20,2,1,1,2,1,1,1,1,1,3,4,8
21,2,2,1,2,1,2,1,2,1,3,4,8
22,2,2,2,2,2,2,2,2,2,2,3,8
23,2,2,2,2,2,2,2,2,2,2,4,8
24,2,2,2,2,2,2,2,2,2,2,2,8
25,2,1,1,1,1,1,1,1,1,3,4,8
26,2,1,1,1,1,1,1,1,1,2,4,8
27,2,2,1,2,2,2,2,2,2,2,5,8
28,2,2,1,2,2,2,2,2,2,2,3,8
29,2,1,1,1,1,1,1,1,1,2,4,8
30,2,1,1,1,1,1,1,1,1,1,3,8
31,2,1,1,1,1,1,1,1,1,1,4,8
32,2,1,1,1,1,2,1,2,1,1,4,8
33,2,2,0,2,0,2,0,2,0,4,5,8
34,2,2,2,2,2,2,2,2,2,2,4,8
35,2,2,2,2,2,2,2,2,2,2,4,8
36,2,2,2,2,2,2,2,2,2,2,4,8
37,2,1,1,1,1,1,1,1,1,3,5,8
38,2,1,1,3,1,2,1,3,1,3,5,8
39,2,2,1,2,2,2,2,2,2,2,4,8
40,2,2,2,2,2,2,2,2,2,2,3,8
41,2,1,1,1,1,1,1,1,1,2,5,8
42,2,1,1,1,1,1,1,1,1,2,5,8
43,2,1,1,1,1,1,1,1,1,1,4,8
44,2,1,1,2,1,2,1,2,1,1,4,8
45,2,1,1,1,1,1,1,1,1,2,4,8
46,2,1,1,1,1,1,1,1,1,1,3,8
47,2,1,1,2,1,1,1,2,1,1,5,8
48,2,1,1,2,1,2,1,3,2,1,4,8
49,2,1,1,2,1,2,1,2,1,2,5,8
50,2,1,1,4,1,3,1,4,1,2,4,8
51,2,1,1,8,3,2,1,3,2,2,5,8
52,2,1,1,2,1,1,1,2,1,1,4,8
1,3,0,0,0,0,0,0,0,0,4,4,8
2,3,0,0,0,0,0,0,0,0,4,4,8
3,3,0,0,0,0,0,0,0,0,4,5,8
4,3,1,1,2,1,1,1,1,1,4,5,8
5,3,1,1,1,1,1,1,1,1,2,4,8
6,3,1,1,1,1,1,1,1,1,2,4,8
7,3,1,1,1,1,1,1,1,1,3,4,8
8,3,1,1,1,1,1,1,1,1,3,4,8
9,3,1,1,1,1,1,1,1,1,1,4,8
10,3,1,1,1,1,1,1,1,1,1,4,8
11,3,1,1,1,1,1,1,1,1,3,4,8
12,3,1,1,1,1,1,1,1,1,3,4,8
13,3,1,1,1,1,1,1,1,1,3,4,8
14,3,1,1,1,1,1,1,1,1,1,3,8
15,3,1,1,1,1,1,1,1,1,4,4,8
16,3,2,2,2,2,2,2,2,2,3,4,8
17,3,1,1,1,1,1,1,1,1,1,4,8
18,3,1,1,1,1,1,1,1,1,1,3,8
19,3,1,1,2,1,1,1,2,1,3,5,8
20,3,2,2,2,2,2,2,2,2,3,4,8
21,3,2,2,2,2,2,2,2,2,2,4,8
22,3,2,2,2,2,2,2,2,2,2,4,8
23,3,2,2,2,2,2,2,2,2,2,3,8
24,3,2,2,2,2,2,2,2,2,2,3,8
25,3,1,1,2,1,1,1,1,1,3,4,8
26,3,2,1,2,2,2,2,2,2,2,4,8
27,3,1,1,2,2,2,2,2,2,2,4,8
28,3,2,2,2,2,2,2,3,2,2,3,8
29,3,1,1,1,1,1,1,1,1,1,5,8
30,3,1,1,1,1,1,1,1,1,2,3,8
31,3,1,1,1,1,1,1,1,1,1,4,8
32,3,1,1,1,1,2,1,2,1,1,4,8
33,3,2,2,3,2,2,2,3,2,3,4,8
34,3,2,2,2,2,2,2,2,2,2,3,8
35,3,2,2,3,2,2,2,2,2,2,4,8
36,3,2,2,2,2,2,2,2,2,2,3,8
37,3,1,1,3,1,1,1,3,1,3,4,8
38,3,2,1,2,2,2,2,2,1,2,3,8
39,3,1,1,2,2,2,2,2,2,2,4,8
40,3,2,2,2,2,2,2,2,2,2,3,8
41,3,1,1,1,1,1,1,1,1,3,4,8
42,3,1,1,1,1,1,1,1,1,2,3,8
43,3,1,1,1,1,2,1,2,1,2,4,8
44,3,1,1,2,2,2,2,2,2,2,3,8
45,3,1,1,1,1,1,1,1,1,1,5,8
46,3,1,1,2,1,2,1,2,1,2,4,8
47,3,1,1,1,1,1,1,1,1,1,4,8
48,3,1,1,2,1,2,1,2,2,1,3,8
49,3,1,1,1,1,1,1,1,1,2,4,8
50,3,1,1,2,2,2,1,2,1,2,4,8
51,3,1,1,1,1,1,1,1,1,1,4,8
52,3,1,1,2,2,2,1,2,2,1,3,8
1,4,2,0,2,0,2,0,2,0,4,5,8
2,4,5,0,6,1,1,0,1,1,4,5,8
3,4,2,0,2,0,2,0,1,0,4,5,8
4,4,5,0,5,0,2,0,2,0,4,5,8
5,4,1,1,1,1,1,1,1,1,2,4,8
6,4,1,1,1,1,1,1,1,1,1,3,8
7,4,3,1,3,1,3,1,1,1,3,4,8
8,4,2,2,4,2,-1,1,4,1,4,4,8
9,4,1,1,1,1,1,1,1,1,1,4,8
10,4,1,1,1,1,1,1,1,1,1,4,8
11,4,1,1,1,1,1,1,1,1,3,4,8
12,4,2,2,5,2,-1,2,-1,1,3,4,8
13,4,1,1,1,1,1,1,1,1,3,5,8
14,4,1,1,1,1,1,1,1,1,1,4,8
15,4,2,1,2,1,2,1,1,1,3,4,8
16,4,2,2,3,2,3,2,3,1,3,4,8
17,4,1,1,1,1,1,1,1,1,1,5,8
18,4,1,1,1,1,1,1,1,1,1,4,8
19,4,2,1,2,1,2,1,2,1,3,5,8
20,4,2,2,3,2,3,2,3,2,3,4,8
21,4,2,2,2,2,2,2,2,2,3,4,8
22,4,2,2,2,2,2,2,2,2,2,4,8
23,4,2,2,2,2,2,2,2,2,2,4,8
24,4,2,2,2,2,2,2,3,2,2,4,8
25,4,1,1,1,1,1,1,1,1,2,3,8
26,4,1,1,2,1,2,1,2,1,2,4,8
27,4,1,1,2,2,2,2,2,2,2,5,8
28,4,2,2,2,2,2,2,2,2,2,4,8
29,4,1,1,1,1,1,1,1,1,2,4,8
30,4,1,1,1,1,1,1,1,1,1,4,8
31,4,1,1,1,1,1,1,2,1,1,5,8
32,4,1,1,2,1,2,1,2,2,1,4,8
33,4,2,2,2,2,2,2,2,2,3,4,8
34,4,2,2,2,2,2,2,2,2,2,5,8
35,4,2,2,2,2,2,2,2,2,2,5,8
36,4,2,2,2,2,2,2,2,2,2,5,8
37,4,1,1,3,2,2,1,2,1,3,4,8
38,4,2,2,2,2,2,2,2,2,2,4,8
39,4,2,2,2,2,2,2,2,2,2,4,8
40,4,2,2,2,2,2,2,2,2,2,4,8
41,4,1,1,1,1,1,1,1,1,3,5,8
42,4,1,1,2,1,1,1,2,1,2,4,8
43,4,1,1,2,2,2,2,2,2,2,4,8
44,4,1,1,2,2,2,1,2,2,1,4,8
45,4,1,1,1,1,1,1,1,1,2,4,8
46,4,1,1,1,1,2,1,2,1,2,4,8
47,4,1,1,2,1,2,1,2,1,1,5,8
48,4,1,1,2,2,2,2,2,2,1,4,8
49,4,1,1,3,1,1,1,2,1,3,4,8
50,4,1,1,4,2,3,1,4,2,2,4,8
51,4,1,1,3,2,2,1,2,2,1,5,8
52,4,1,1,2,2,2,1,2,2,1,5,8
1,5,1,1,5,1,-1,1,2,1,4,5,8
2,5,4,0,4,0,4,0,4,0,4,4,8
3,5,5,0,5,0,1,0,1,0,4,5,8
4,5,0,0,4,0,0,0,3,0,4,4,8
5,5,2,1,2,2,2,2,2,2,3,4,8
6,5,1,1,2,1,2,1,2,1,2,4,8
7,5,2,1,2,1,2,1,2,1,3,4,8
8,5,3,2,3,2,3,2,3,2,3,4,8
9,5,1,1,1,1,1,1,1,1,1,4,8
10,5,1,1,1,1,2,1,2,1,1,4,8
11,5,2,2,2,2,2,2,2,1,3,4,8
12,5,2,2,2,2,3,2,2,2,3,4,8
13,5,1,1,7,1,1,1,4,1,3,5,8
14,5,1,1,1,1,1,1,1,1,1,4,8
15,5,4,1,4,1,4,1,4,1,4,5,8
16,5,3,1,3,1,3,1,3,1,3,4,8
17,5,1,1,1,1,1,1,1,1,1,5,8
18,5,1,1,1,1,1,1,1,1,1,4,8
19,5,2,1,4,2,4,1,2,1,4,4,8
20,5,3,1,3,3,3,2,3,1,3,4,8
21,5,3,2,3,2,4,2,3,2,3,4,8
22,5,2,2,5,3,-1,2,-1,2,3,5,8
23,5,2,2,4,2,4,2,3,2,2,4,8
24,5,2,2,3,2,3,2,3,3,2,4,8
25,5,2,2,2,2,2,2,2,2,3,4,8
26,5,2,1,5,2,-1,2,-1,2,3,5,8
27,5,2,2,3,2,3,2,3,2,2,4,8
28,5,2,2,3,2,3,2,3,2,2,3,8
29,5,2,1,2,2,2,2,2,2,2,4,8
30,5,1,1,2,1,-1,1,2,1,3,4,8
31,5,1,1,2,1,2,1,2,1,2,4,8
32,5,1,1,3,1,3,1,3,1,1,4,8
33,5,2,2,5,4,-1,2,4,2,4,5,8
34,5,2,2,2,2,2,2,2,2,2,4,8
35,5,2,2,4,2,4,2,3,2,2,4,8
36,5,2,2,2,2,3,2,3,2,2,3,8
37,5,2,1,4,2,2,2,4,2,4,4,8
38,5,2,2,2,2,2,2,2,2,2,4,8
39,5,2,1,8,2,-1,2,4,2,2,5,8
40,5,2,2,2,2,2,2,2,2,2,3,8
41,5,1,1,4,1,4,1,4,1,4,5,8
42,5,1,1,2,1,4,1,2,1,2,4,8
43,5,1,1,8,1,1,1,-1,1,1,5,8
44,5,1,1,2,1,2,1,3,1,1,3,8
45,5,2,2,3,2,2,2,2,2,3,4,8
46,5,1,1,3,2,4,1,3,2,3,4,8
47,5,1,1,3,1,3,1,3,2,1,5,8
48,5,1,1,3,2,4,1,3,2,1,4,8
49,5,1,1,7,4,-1,1,4,1,3,5,8
50,5,2,1,2,2,3,2,2,2,2,4,8
51,5,1,1,2,2,2,1,2,2,2,5,8
52,5,1,1,2,1,3,1,3,1,1,3,8
1,6,1,0,6,1,1,0,1,1,4,5,8
2,6,1,0,1,0,1,0,1,0,4,4,8
3,6,4,1,4,1,-1,1,4,1,4,4,8
4,6,0,0,0,0,0,0,0,0,4,4,8
5,6,1,1,1,1,-1,1,3,1,2,5,8
6,6,1,1,1,1,1,1,1,1,1,3,8
7,6,3,1,4,3,3,1,3,2,3,4,8
8,6,3,1,3,2,3,1,3,1,3,4,8
9,6,1,1,8,1,-1,1,-1,2,1,5,8
10,6,1,1,1,1,1,1,3,1,1,4,8
11,6,2,1,4,2,-1,2,3,2,3,4,8
12,6,2,1,2,2,2,2,2,2,3,3,8
13,6,1,1,2,1,2,1,2,1,2,5,8
14,6,1,1,1,1,1,1,1,1,1,4,8
15,6,3,2,6,3,3,2,3,1,3,5,8
16,6,1,1,1,1,1,1,1,1,3,4,8
17,6,1,1,1,1,1,1,1,1,1,4,8
18,6,1,1,1,1,1,1,1,1,1,4,8
19,6,2,1,6,6,3,1,4,1,3,6,8
20,6,1,1,1,1,1,1,1,1,3,5,8
21,6,2,2,5,4,-1,3,4,3,3,4,8
22,6,2,2,3,2,3,2,3,3,3,4,8
23,6,2,2,3,3,3,3,3,3,2,4,8
24,6,2,2,2,2,3,2,3,2,2,3,8
25,6,3,1,5,3,-1,2,3,3,3,5,8
26,6,2,2,3,3,3,3,3,3,3,4,8
27,6,2,2,3,3,3,2,3,3,2,4,8
28,6,2,2,2,2,3,2,3,2,2,3,8
29,6,1,1,5,1,-1,1,3,1,3,5,8
30,6,1,1,3,1,3,1,3,1,2,3,8
31,6,1,1,3,3,3,2,3,3,2,4,8
32,6,1,1,2,2,3,2,3,2,2,3,8
33,6,2,2,6,3,2,2,3,2,4,5,8
34,6,2,2,2,2,2,2,2,2,2,4,8
35,6,2,2,8,2,-1,2,4,2,2,5,8
36,6,2,2,2,2,2,2,3,2,2,5,8
37,6,2,1,6,3,-1,1,3,2,3,5,8
38,6,2,1,2,2,2,2,2,2,2,4,8
39,6,2,2,8,2,2,2,2,2,2,5,8
40,6,2,2,2,2,2,2,-1,2,2,5,8
41,6,1,1,3,2,-1,1,2,2,3,5,8
42,6,1,1,1,1,1,1,1,1,1,5,8
43,6,1,1,1,1,1,1,3,1,1,5,8
44,6,1,1,2,2,2,2,2,2,2,5,8
45,6,1,1,4,2,2,2,3,2,2,4,8
46,6,1,1,2,2,3,2,3,2,2,3,8
47,6,1,1,3,2,-1,2,3,2,2,4,8
48,6,1,1,2,2,3,2,3,2,2,3,8
49,6,1,1,8,2,2,1,2,1,2,5,8
50,6,1,1,1,1,1,1,2,1,2,4,8
51,6,1,1,2,1,2,1,2,1,1,4,8
52,6,1,1,2,2,2,2,2,2,1,4,8
1,7,1,0,1,0,1,0,1,0,4,4,8
2,7,2,0,2,0,1,0,1,0,4,4,8
3,7,3,0,3,0,3,0,3,0,3,4,8
4,7,1,0,1,0,1,0,1,0,4,4,8
5,7,1,1,3,1,1,1,2,1,2,5,8
6,7,1,1,1,1,3,1,3,1,1,4,8
7,7,1,0,5,0,1,0,1,0,4,5,8
8,7,3,1,5,1,3,1,3,1,3,5,8
9,7,1,1,1,1,1,1,1,1,1,4,8
10,7,1,1,1,1,1,1,1,1,1,5,8
11,7,2,1,5,1,-1,1,2,1,3,5,8
12,7,1,1,3,1,1,1,3,1,3,4,8
13,7,1,1,1,1,1,1,1,1,2,4,8
14,7,1,1,1,1,1,1,1,1,1,4,8
15,7,3,1,6,1,-1,1,3,1,4,5,8
16,7,1,1,1,1,1,1,1,1,3,4,8
17,7,1,1,1,1,1,1,1,1,1,4,8
18,7,1,1,1,1,1,1,2,1,1,4,8
19,7,1,1,3,1,1,1,1,1,3,5,8
20,7,1,1,1,1,1,1,1,1,3,4,8
21,7,3,2,4,4,4,2,4,2,4,4,8
22,7,2,2,4,2,4,2,4,2,3,4,8
23,7,2,2,2,2,3,2,2,2,2,5,8
24,7,2,2,2,2,2,2,-1,2,2,4,8
25,7,1,1,4,1,-1,1,4,1,4,4,8
26,7,2,1,2,2,2,2,4,2,2,4,8
27,7,1,1,2,2,2,2,2,2,2,4,8
28,7,2,2,2,2,2,2,2,2,2,4,8
29,7,1,1,1,1,1,1,1,1,3,4,8
30,7,1,1,1,1,1,1,1,1,1,4,8
31,7,1,1,1,1,1,1,1,1,1,4,8
32,7,1,1,2,1,2,2,2,2,1,4,8
33,7,2,2,3,2,-1,2,2,2,3,4,8
34,7,2,2,2,2,2,2,2,2,2,4,8
35,7,2,2,2,2,2,2,2,2,2,5,8
36,7,2,2,2,2,2,2,2,2,2,4,8
37,7,2,1,3,1,3,1,2,1,3,4,8
38,7,1,1,2,1,2,1,2,1,2,4,8
39,7,2,1,2,2,2,2,2,2,2,4,8
40,7,2,1,2,2,2,2,2,2,2,3,8
41,7,1,1,1,1,1,1,1,1,3,4,8
42,7,1,1,1,1,1,1,1,1,1,5,8
43,7,1,1,1,1,1,1,2,1,1,5,8
44,7,1,1,1,1,1,1,4,1,1,4,8
45,7,1,1,3,1,1,1,3,1,2,4,8
46,7,1,1,4,1,-1,1,4,1,2,4,8
47,7,1,1,1,1,1,1,2,1,1,4,8
48,7,1,1,2,1,2,1,3,2,1,4,8
49,7,1,1,3,1,1,1,3,1,2,5,8
50,7,1,1,1,1,1,1,2,1,1,5,8
51,7,1,1,2,2,2,1,2,1,1,5,8
52,7,1,1,3,1,2,1,3,1,1,4,8
1,8,0,0,0,0,0,0,0,0,4,4,8
2,8,1,0,1,0,1,0,1,0,3,4,8
3,8,0,0,0,0,0,0,0,0,4,5,8
4,8,0,0,0,0,0,0,0,0,4,4,8
5,8,1,1,1,1,1,1,1,1,2,4,8
6,8,1,1,1,1,1,1,2,1,2,4,8
7,8,2,1,2,1,2,1,2,1,3,4,8
8,8,2,1,2,1,2,1,2,1,3,4,8
9,8,1,1,1,1,1,1,1,1,1,5,8
10,8,1,1,1,1,-1,1,4,1,1,4,8
11,8,2,1,2,1,3,1,2,1,3,4,8
12,8,2,1,2,1,2,1,2,1,3,4,8
13,8,1,1,4,1,2,1,4,1,3,4,8
14,8,1,1,1,1,1,1,1,1,2,4,8
15,8,2,1,3,1,1,1,1,1,3,5,8
16,8,1,1,1,1,1,1,1,1,3,4,8
17,8,1,1,1,1,1,1,1,1,1,5,8
18,8,1,1,1,1,1,1,1,1,1,4,8
19,8,1,1,3,1,1,1,1,1,3,5,8
20,8,1,1,1,1,1,1,1,1,3,5,8
21,8,2,2,3,2,3,2,2,2,3,4,8
22,8,2,2,3,2,3,2,3,2,3,3,8
23,8,2,2,2,2,2,2,2,2,2,3,8
24,8,2,2,2,2,4,2,4,2,2,4,8
25,8,3,1,3,2,3,1,2,1,3,4,8
26,8,2,2,3,2,4,2,4,2,3,4,8
27,8,2,2,2,2,2,2,2,2,2,4,8
28,8,2,2,2,2,3,2,3,2,2,3,8
29,8,1,1,3,1,3,1,1,1,3,5,8
30,8,1,1,3,1,4,1,3,1,3,4,8
31,8,1,1,2,1,4,1,2,1,2,4,8
32,8,1,1,2,2,4,2,4,2,2,4,8
33,8,2,2,3,2,3,2,2,2,3,4,8
34,8,2,2,2,2,2,2,2,2,2,3,8
35,8,2,2,2,2,2,2,2,2,2,4,8
36,8,2,2,2,2,2,2,2,2,2,4,8
37,8,3,1,3,3,3,1,3,1,3,4,8
38,8,2,2,2,2,2,2,2,2,2,4,8
39,8,2,2,2,2,2,2,2,2,2,4,8
40,8,2,2,2,2,2,2,2,2,2,3,8
41,8,1,1,3,1,3,1,3,1,3,4,8
42,8,2,1,2,2,2,2,2,2,2,3,8
43,8,1,1,2,2,2,2,2,2,2,5,8
44,8,1,1,2,2,2,2,2,2,2,2,8
45,8,1,1,1,1,1,1,1,1,3,4,8
46,8,1,1,3,2,3,2,4,2,3,4,8
47,8,1,1,2,2,3,1,2,2,2,5,8
48,8,1,1,2,2,3,3,3,2,1,3,8
49,8,2,1,2,2,2,1,2,1,2,5,8
50,8,2,1,2,2,2,2,2,2,2,3,8
51,8,1,1,2,1,2,1,2,1,2,4,8
52,8,1,1,2,2,2,2,2,2,1,2,8
1,9,1,1,2,1,1,1,1,1,4,5,8
2,9,0,0,0,0,0,0,0,0,3,4,8
3,9,0,0,6,0,0,0,1,0,5,5,8
4,9,0,0,0,0,0,0,0,0,4,4,8
5,9,1,1,2,1,2,1,2,1,2,4,8
6,9,1,1,1,1,1,1,1,1,1,4,8
7,9,1,1,1,1,1,1,1,1,4,5,8
8,9,1,1,1,1,1,1,1,1,4,5,8
9,9,1,1,1,1,2,1,2,1,1,4,8
10,9,1,1,1,1,3,1,2,1,1,3,8
11,9,2,1,2,1,2,1,2,1,3,5,8
12,9,1,1,1,1,1,1,1,1,3,5,8
13,9,1,1,2,1,2,1,2,1,2,3,8
14,9,1,1,1,1,2,1,2,1,2,4,8
15,9,2,0,0,0,2,0,0,0,4,5,8
16,9,2,2,2,1,2,1,2,1,4,4,8
17,9,1,1,2,1,1,1,2,1,1,4,8
18,9,1,1,1,1,1,1,1,1,1,3,8
19,9,2,1,2,1,2,1,1,1,3,5,8
20,9,2,1,2,1,3,1,2,1,3,4,8
21,9,2,2,2,2,2,2,2,2,2,5,8
22,9,2,2,2,2,2,2,2,2,2,4,8
23,9,2,2,2,2,2,2,2,2,2,4,8
24,9,2,2,2,2,2,2,2,2,2,3,8
25,9,1,1,2,1,2,1,2,1,2,5,8
26,9,2,1,2,2,2,1,2,1,2,3,8
27,9,2,1,2,2,2,2,2,2,2,5,8
28,9,2,2,2,2,3,2,2,2,2,4,8
29,9,1,1,2,1,2,1,2,1,2,3,8
30,9,1,1,1,1,1,1,1,1,2,4,8
31,9,1,1,2,1,3,1,2,1,1,4,8
32,9,1,1,2,1,3,1,2,1,1,4,8
33,9,2,2,2,2,2,1,2,1,3,5,8
34,9,2,2,3,2,3,2,3,2,3,4,8
35,9,2,2,2,2,3,2,2,2,2,3,8
36,9,2,2,2,2,3,2,3,2,2,3,8
37,9,1,1,3,1,1,1,1,1,3,5,8
38,9,2,1,4,2,2,2,2,2,3,4,8
39,9,2,2,2,2,2,2,2,2,2,3,8
40,9,2,2,2,2,3,2,2,2,2,3,8
41,9,2,1,2,1,2,1,2,1,2,4,8
42,9,1,1,1,1,2,1,2,1,2,4,8
43,9,1,1,2,1,2,1,2,1,2,4,8
44,9,1,1,2,2,3,2,2,2,1,3,8
45,9,1,1,2,1,2,1,2,1,2,5,8
46,9,1,1,2,1,2,1,2,1,2,4,8
47,9,1,1,2,1,1,1,2,1,1,4,8
48,9,1,1,2,1,1,1,2,1,1,4,8
49,9,1,1,1,1,1,1,1,1,2,4,8
50,9,1,1,2,2,2,2,2,2,2,4,8
51,9,1,1,8,1,1,1,3,1,1,5,8
52,9,1,1,2,2,2,1,2,2,1,4,8
1,10,0,0,0,0,0,0,0,0,4,4,8
2,10,0,0,0,0,0,0,0,0,4,4,8
3,10,1,0,1,0,1,0,1,0,3,5,8
4,10,1,1,1,1,1,1,1,1,4,4,8
5,10,1,1,1,1,1,1,1,1,2,4,8
6,10,1,1,1,1,1,1,1,1,2,3,8
7,10,1,1,2,1,1,1,1,1,4,4,8
8,10,1,1,3,1,1,1,1,1,4,4,8
9,10,1,1,1,1,1,1,1,1,1,3,8
10,10,1,1,1,1,1,1,2,1,1,4,8
11,10,1,1,1,1,1,1,1,1,4,4,8
12,10,1,1,1,1,1,1,1,1,3,4,8
13,10,1,1,5,1,1,1,1,1,4,5,8
14,10,1,1,1,1,1,1,1,1,2,4,8
15,10,3,0,3,0,3,0,2,0,3,4,8
16,10,3,2,3,2,4,1,3,1,3,4,8
17,10,1,1,8,1,1,1,4,1,1,5,8
18,10,1,1,1,1,1,1,2,1,1,5,8
19,10,3,1,3,2,4,1,3,1,3,4,8
20,10,3,1,3,2,4,1,3,1,3,4,8
21,10,2,2,3,3,3,2,3,2,3,4,8
22,10,2,2,2,2,2,2,2,2,2,4,8
23,10,2,2,2,2,2,2,3,2,2,4,8
24,10,2,2,2,2,2,2,3,2,2,4,8
25,10,2,1,3,2,3,1,3,1,3,5,8
26,10,2,2,2,2,2,2,2,2,2,4,8
27,10,2,2,2,2,3,2,3,2,2,3,8
28,10,2,2,2,2,3,2,3,2,2,4,8
29,10,1,1,5,1,1,1,-1,1,3,5,8
30,10,1,1,4,1,-1,1,4,1,3,4,8
31,10,1,1,1,1,1,1,1,1,1,4,8
32,10,1,1,2,1,2,1,2,2,1,4,8
33,10,2,2,4,2,-1,2,2,2,4,5,8
34,10,2,2,2,2,2,2,2,2,2,4,8
35,10,2,2,8,4,-1,2,4,2,3,5,8
36,10,2,2,3,2,3,2,3,3,2,3,8
37,10,2,1,6,1,1,1,2,1,4,5,8
38,10,2,1,2,2,2,1,2,2,2,5,8
39,10,2,2,8,5,-1,2,4,2,2,5,8
40,10,2,2,3,2,3,2,3,2,2,4,8
41,10,1,1,6,1,1,1,1,1,3,5,8
42,10,1,1,1,1,1,1,1,1,2,4,8
43,10,1,1,8,1,1,1,4,1,1,5,8
44,10,1,1,5,1,-1,1,4,1,1,4,8
45,10,1,1,2,1,4,1,2,1,2,4,8
46,10,1,1,2,2,2,2,2,2,2,4,8
47,10,1,1,1,1,1,1,1,1,1,4,8
48,10,1,1,2,2,2,1,2,2,1,4,8
49,10,1,1,4,1,1,1,2,1,2,4,8
50,10,1,1,2,1,2,1,2,1,2,4,8
51,10,1,1,8,5,-1,1,-1,2,1,5,8
52,10,1,1,8,1,-1,1,-1,1,1,5,8
1,11,0,0,0,0,0,0,0,0,4,5,8
2,11,2,0,0,0,2,0,0,0,4,4,8
3,11,0,0,0,0,0,0,0,0,3,4,8
4,11,0,0,0,0,0,0,0,0,3,4,8
5,11,1,1,2,1,2,1,2,1,2,3,8
6,11,1,1,1,1,1,1,1,1,1,4,8
7,11,1,1,1,1,1,1,1,1,4,4,8
8,11,2,1,2,2,2,1,2,1,4,4,8
9,11,1,1,1,1,1,1,2,1,1,5,8
10,11,1,1,1,1,1,1,1,1,1,3,8
11,11,1,1,1,1,1,1,1,1,4,4,8
12,11,2,1,4,1,-1,1,3,1,4,4,8
13,11,1,1,1,1,2,1,1,1,2,5,8
