Thresholds,Lambda,,,,,,,,,,,,
Same,0,0.947,0,0.053,0.947,0,0.053,0.941,0,0.059,0.941,0,0.059
Different,0,0.959,0,0.041,0.959,0,0.041,0.954,0,0.046,0.954,0,0.046
Same,0.5,0.93,0,0.07,0.952,0,0.048,0.967,0,0.033,0.95,0,0.05
Same,0.7,0.993,0,0.007,0.962,0,0.038,0.998,0,0.002,0.959,0,0.041
Different,0.5,0.914,0,0.086,0.954,0,0.046,0.956,0,0.044,0.961,0,0.039
Different,0.7,0.968,0,0.032,0.966,0,0.034,0.993,0,0.007,0.95,0,0.05
Same,0.5,0.764,0.075,0.161,0.866,0.075,0.059,0.845,0,0.155,0.952,0,0.048
Same,0.7,0.832,0,0.168,0.954,0,0.046,0.87,0,0.13,0.949,0,0.051
Different,0.5,0.684,0.161,0.155,0.791,0.161,0.048,0.819,0.005,0.176,0.935,0.005,0.06
Different,0.7,0.777,0,0.223,0.942,0,0.058,0.805,0,0.195,0.95,0,0.05
